"timestamp","workload","pool","trial","status","command","threads","warmup","reps","matrix_n","matrix_bs","fib_n","fib_tasks","fib_split_threshold","fib_single_n","fib_single_split_threshold","fib_fast_n","fib_fast_tasks","run_times_s","latency_p50_s","latency_p95_s","latency_p99_s","app_best_s","app_avg_s","throughput_tasks_per_s","gflops","checksum","expected_checksum","fib_value","spawned_internal_nodes","elapsed_s","user_s","sys_s","cpu_pct","max_rss_kb","avg_rss_kb","voluntary_cs","involuntary_cs","perf_enabled","perf_task_clock_ms","perf_context_switches","perf_cpu_migrations","perf_cycles","perf_instructions","perf_cache_misses","perf_cpus_utilized","stderr"
"2026-02-21T08:23:13+00:00","matrix","classic","1","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench classic 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.053788;0.0535189;0.055969","0.053788000","0.055750900","0.055925380","0.0535189","0.0544253","4703.694789004","39.457452","14.2335","NA","NA","NA","0.29","1.76","0.02","598","28444","0","78","135","1","1753.19","200","2","<not supported>","<not supported>","<not supported>","6.045483",""
"2026-02-21T08:23:14+00:00","matrix","classic","2","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench classic 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0539485;0.0538381;0.0540985","0.053948500","0.054083500","0.054095500","0.0538381","0.0539617","4744.105541523","39.796442","14.2335","NA","NA","NA","0.29","1.78","0.01","605","28604","0","76","91","1","1759.94","152","1","<not supported>","<not supported>","<not supported>","6.068759",""
"2026-02-21T08:23:14+00:00","matrix","classic","3","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench classic 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0540537;0.053957;0.053829","0.053957000","0.054044030","0.054051766","0.053829","0.0539466","4745.433447150","39.807581","14.2335","NA","NA","NA","0.30","1.76","0.03","589","28472","0","72","116","1","1760.47","168","3","<not supported>","<not supported>","<not supported>","5.868233",""
"2026-02-21T08:23:14+00:00","matrix","classic","4","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench classic 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0538357;0.0538254;0.0540992","0.053835700","0.054072850","0.054093930","0.0538254","0.0539201","4747.765675509","39.827145","14.2335","NA","NA","NA","0.29","1.77","0.02","601","28448","0","69","190","1","1753.76","245","2","<not supported>","<not supported>","<not supported>","6.047448",""
"2026-02-21T08:23:14+00:00","matrix","classic","5","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench classic 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0541463;0.0539681;0.0540069","0.054006900","0.054132360","0.054143512","0.0539681","0.0540404","4737.196615865","39.738485","14.2335","NA","NA","NA","0.29","1.78","0.01","604","28472","0","80","165","1","1762.53","230","1","<not supported>","<not supported>","<not supported>","6.077690",""
"2026-02-21T08:23:15+00:00","matrix","ws","1","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench ws 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0540505;0.0540131;0.0538851","0.054013100","0.054046760","0.054049752","0.0538851","0.0539829","4742.242450850","39.780813","14.2335","NA","NA","NA","0.30","1.76","0.02","592","28412","0","86","136","1","1750.28","209","2","<not supported>","<not supported>","<not supported>","5.834267",""
"2026-02-21T08:23:15+00:00","matrix","ws","2","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench ws 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0554067;0.0539144;0.0543832","0.054383200","0.055304350","0.055386230","0.0539144","0.0545681","4691.385626401","39.354195","14.2335","NA","NA","NA","0.30","1.78","0.02","599","28500","0","82","219","1","1772.99","285","2","<not supported>","<not supported>","<not supported>","5.909967",""
"2026-02-21T08:23:15+00:00","matrix","ws","3","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench ws 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0539264;0.055616;0.0538026","0.053926400","0.055447040","0.055582208","0.0538026","0.0544484","4701.699223485","39.440712","14.2335","NA","NA","NA","0.30","1.77","0.02","590","28620","0","70","137","1","1756.69","195","2","<not supported>","<not supported>","<not supported>","5.855633",""
"2026-02-21T08:23:16+00:00","matrix","ws","4","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench ws 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0546608;0.0542217;0.0543343","0.054334300","0.054628150","0.054654270","0.0542217","0.0544056","4705.397973738","39.471739","14.2335","NA","NA","NA","0.29","1.76","0.02","598","28608","0","82","146","1","1751.39","210","2","<not supported>","<not supported>","<not supported>","6.039276",""
"2026-02-21T08:23:16+00:00","matrix","ws","5","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench ws 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0540636;0.0539119;0.0555177","0.054063600","0.055372290","0.055488618","0.0539119","0.0544977","4697.445947260","39.405033","14.2335","NA","NA","NA","0.30","1.78","0.02","600","28612","0","77","169","1","1767.94","232","1","<not supported>","<not supported>","<not supported>","5.893133",""
"2026-02-21T08:23:16+00:00","matrix","elastic","1","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench elastic 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0543023;0.0543599;0.0540142","0.054302300","0.054354140","0.054358748","0.0540142","0.0542255","4721.026085513","39.602837","14.2335","NA","NA","NA","0.29","1.79","0.01","605","28816","0","87","148","1","1772.82","220","1","<not supported>","<not supported>","<not supported>","6.113172",""
"2026-02-21T08:23:17+00:00","matrix","elastic","2","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench elastic 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0549634;0.0547381;0.0546942","0.054738100","0.054940870","0.054958894","0.0546942","0.0547986","4671.652195494","39.188659","14.2335","NA","NA","NA","0.30","1.74","0.04","584","28780","0","99","167","1","1743.95","252","2","<not supported>","<not supported>","<not supported>","5.813167",""
"2026-02-21T08:23:17+00:00","matrix","elastic","3","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench elastic 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0540689;0.0551836;0.0542919","0.054291900","0.055094430","0.055165766","0.0540689","0.0545148","4695.972469861","39.392672","14.2335","NA","NA","NA","0.29","1.76","0.02","598","28676","0","102","185","1","1750.77","275","1","<not supported>","<not supported>","<not supported>","6.037138",""
"2026-02-21T08:23:17+00:00","matrix","elastic","4","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench elastic 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0539493;0.0550765;0.0546247","0.054624700","0.055031320","0.055067464","0.0539493","0.0545502","4692.925048854","39.367109","14.2335","NA","NA","NA","0.29","1.76","0.02","596","28832","0","123","198","1","1744.88","307","8","<not supported>","<not supported>","<not supported>","6.016828",""
"2026-02-21T08:23:17+00:00","matrix","elastic","5","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench elastic 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0535994;0.0538359;0.0545995","0.053835900","0.054523140","0.054584228","0.0535994","0.0540116","4739.722578113","39.759675","14.2335","NA","NA","NA","0.29","1.73","0.05","600","28580","0","91","123","1","1751.69","199","1","<not supported>","<not supported>","<not supported>","6.040310",""
"2026-02-21T08:23:18+00:00","matrix","advws","1","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench advws 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0530608;0.0539056;0.0523133","0.053060800","0.053821120","0.053888704","0.0523133","0.0530932","4821.709748141","40.447433","14.2335","NA","NA","NA","0.29","1.72","0.03","594","28540","0","80","275","1","1717.11","340","1","<not supported>","<not supported>","<not supported>","5.921069",""
"2026-02-21T08:23:18+00:00","matrix","advws","2","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench advws 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0544122;0.0517713;0.0525427","0.052542700","0.054225250","0.054374810","0.0517713","0.0529087","4838.523721052","40.588479","14.2335","NA","NA","NA","0.29","1.72","0.02","589","28540","0","74","161","1","1714.49","220","2","<not supported>","<not supported>","<not supported>","5.912034",""
"2026-02-21T08:23:18+00:00","matrix","advws","3","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench advws 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0525;0.0523986;0.0533585","0.052500000","0.053272650","0.053341330","0.0523986","0.0527524","4852.859775100","40.708738","14.2335","NA","NA","NA","0.29","1.72","0.01","590","28628","0","80","169","1","1698.93","234","4","<not supported>","<not supported>","<not supported>","5.858379",""
"2026-02-21T08:23:19+00:00","matrix","advws","4","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench advws 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0519582;0.0517067;0.0535101","0.051958200","0.053354910","0.053479062","0.0517067","0.0523917","4886.270153479","40.989005","14.2335","NA","NA","NA","0.29","1.72","0.02","598","28472","0","80","134","1","1708.94","201","1","<not supported>","<not supported>","<not supported>","5.892897",""
"2026-02-21T08:23:19+00:00","matrix","advws","5","ok","/home/rjahangir/Concurrency_in_Cpp/build/matrix_mul_bench advws 1024 64 8 1 3","8","1","3","1024","64","NA","NA","NA","NA","NA","NA","NA","0.0520058;0.0538366;0.0534379","0.053437900","0.053796730","0.053828626","0.0520058","0.0530934","4821.691585018","40.447281","14.2335","NA","NA","NA","0.29","1.72","0.02","591","28716","0","95","199","1","1707.44","277","2","<not supported>","<not supported>","<not supported>","5.887724",""
"2026-02-21T08:23:19+00:00","fib","classic","1","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench classic 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","3.8827e-05;4.2056e-05;4.045e-05","0.000040450","0.000041895","0.000042024","3.8827e-05","4.04443e-05","197802.904241142","NA","5611269864","5611269864","701408733","NA","0.04","0.03","0.00","102","14504","0","60","8","1","2.72","53","0","<not supported>","<not supported>","<not supported>","0.068000",""
"2026-02-21T08:23:19+00:00","fib","classic","2","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench classic 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","3.6732e-05;0.00017258;4.4832e-05","0.000044832","0.000159805","0.000170025","3.6732e-05","8.47147e-05","94434.614063439","NA","5611269864","5611269864","701408733","NA","0.04","0.03","0.00","100","14420","0","58","10","1","2.55","53","1","<not supported>","<not supported>","<not supported>","0.063750",""
"2026-02-21T08:23:19+00:00","fib","classic","3","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench classic 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","3.722e-05;4.0119e-05;4.0957e-05","0.000040119","0.000040873","0.000040940","3.722e-05","3.9432e-05","202880.908906472","NA","5611269864","5611269864","701408733","NA","0.04","0.04","0.00","100","14304","0","60","14","1","2.37","55","0","<not supported>","<not supported>","<not supported>","0.059250",""
"2026-02-21T08:23:19+00:00","fib","classic","4","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench classic 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","7.4975e-05;6.0773e-05;6.3967e-05","0.000063967","0.000073874","0.000074755","6.0773e-05","6.65717e-05","120171.183851396","NA","5611269864","5611269864","701408733","NA","0.04","0.03","0.00","100","14268","0","66","18","1","2.54","59","0","<not supported>","<not supported>","<not supported>","0.063500",""
"2026-02-21T08:23:19+00:00","fib","classic","5","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench classic 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","3.7783e-05;4.2702e-05;4.0661e-05","0.000040661","0.000042498","0.000042661","3.7783e-05","4.0382e-05","198108.067951067","NA","5611269864","5611269864","701408733","NA","0.04","0.03","0.00","100","14116","0","59","13","1","2.48","52","0","<not supported>","<not supported>","<not supported>","0.062000",""
"2026-02-21T08:23:19+00:00","fib","ws","1","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench ws 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","5.429e-05;5.6729e-05;6.0138e-05","0.000056729","0.000059797","0.000060070","5.429e-05","5.70523e-05","140222.217158642","NA","5611269864","5611269864","701408733","NA","0.03","0.03","0.00","102","14364","0","66","9","1","2.48","60","0","<not supported>","<not supported>","<not supported>","0.082667",""
"2026-02-21T08:23:19+00:00","fib","ws","2","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench ws 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","3.8531e-05;4.3702e-05;4.2402e-05","0.000042402","0.000043572","0.000043676","3.8531e-05","4.1545e-05","192562.281863040","NA","5611269864","5611269864","701408733","NA","0.03","0.03","0.00","102","14352","0","61","12","1","2.57","57","0","<not supported>","<not supported>","<not supported>","0.085667",""
"2026-02-21T08:23:19+00:00","fib","ws","3","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench ws 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","5.6168e-05;4.2123e-05;4.291e-05","0.000042910","0.000054842","0.000055903","4.2123e-05","4.7067e-05","169970.467631249","NA","5611269864","5611269864","701408733","NA","0.03","0.03","0.00","102","14296","0","65","9","1","2.49","59","0","<not supported>","<not supported>","<not supported>","0.083000",""
"2026-02-21T08:23:19+00:00","fib","ws","4","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench ws 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","3.6606e-05;4.1657e-05;4.482e-05","0.000041657","0.000044504","0.000044757","3.6606e-05","4.10277e-05","194990.213928638","NA","5611269864","5611269864","701408733","NA","0.04","0.04","0.00","100","14400","0","57","12","1","2.77","51","0","<not supported>","<not supported>","<not supported>","0.069250",""
"2026-02-21T08:23:19+00:00","fib","ws","5","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench ws 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","4.1718e-05;4.2925e-05;4.1532e-05","0.000041718","0.000042804","0.000042901","4.1532e-05","4.20583e-05","190212.157885602","NA","5611269864","5611269864","701408733","NA","0.03","0.03","0.00","102","14272","0","67","8","1","2.49","59","1","<not supported>","<not supported>","<not supported>","0.083000",""
"2026-02-21T08:23:19+00:00","fib","elastic","1","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench elastic 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","4.026e-05;5.0212e-05;4.1661e-05","0.000041661","0.000049357","0.000050041","4.026e-05","4.40443e-05","181635.308087539","NA","5611269864","5611269864","701408733","NA","0.03","0.03","0.00","100","14336","0","62","10","1","2.51","57","0","<not supported>","<not supported>","<not supported>","0.083667",""
"2026-02-21T08:23:19+00:00","fib","elastic","2","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench elastic 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","4.6081e-05;4.1292e-05;4.1043e-05","0.000041292","0.000045602","0.000045985","4.1043e-05","4.28053e-05","186892.744590039","NA","5611269864","5611269864","701408733","NA","0.03","0.03","0.00","102","14536","0","61","10","1","2.56","54","0","<not supported>","<not supported>","<not supported>","0.085333",""
"2026-02-21T08:23:20+00:00","fib","elastic","3","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench elastic 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","4.8658e-05;5.0026e-05;3.8445e-05","0.000048658","0.000049889","0.000049999","3.8445e-05","4.57097e-05","175017.556448631","NA","5611269864","5611269864","701408733","NA","0.04","0.03","0.00","95","14372","0","61","24","1","2.51","56","0","<not supported>","<not supported>","<not supported>","0.062750",""
"2026-02-21T08:23:20+00:00","fib","elastic","4","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench elastic 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","6.1962e-05;4.0516e-05;4.0838e-05","0.000040838","0.000059850","0.000061540","4.0516e-05","4.7772e-05","167462.111697228","NA","5611269864","5611269864","701408733","NA","0.03","0.03","0.00","102","14236","0","65","13","1","2.62","61","0","<not supported>","<not supported>","<not supported>","0.087333",""
"2026-02-21T08:23:20+00:00","fib","elastic","5","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench elastic 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","3.8314e-05;4.1278e-05;4.1359e-05","0.000041278","0.000041351","0.000041357","3.8314e-05","4.0317e-05","198427.462360791","NA","5611269864","5611269864","701408733","NA","0.03","0.03","0.00","102","14360","0","59","10","1","2.46","54","0","<not supported>","<not supported>","<not supported>","0.082000",""
"2026-02-21T08:23:20+00:00","fib","advws","1","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench advws 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","3.6519e-05;4.4556e-05;4.2789e-05","0.000042789","0.000044379","0.000044521","3.6519e-05","4.1288e-05","193760.899050572","NA","5611269864","5611269864","701408733","NA","0.03","0.03","0.00","102","14236","0","56","14","1","2.47","50","0","<not supported>","<not supported>","<not supported>","0.082333",""
"2026-02-21T08:23:20+00:00","fib","advws","2","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench advws 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","7.8951e-05;7.9834e-05;7.7405e-05","0.000078951","0.000079746","0.000079816","7.7405e-05","7.873e-05","101613.108090944","NA","5611269864","5611269864","701408733","NA","0.03","0.03","0.01","102","14348","0","74","7","1","2.56","69","0","<not supported>","<not supported>","<not supported>","0.085333",""
"2026-02-21T08:23:20+00:00","fib","advws","3","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench advws 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","5.2477e-05;4.2009e-05;4.3295e-05","0.000043295","0.000051559","0.000052293","4.2009e-05","4.5927e-05","174189.474600997","NA","5611269864","5611269864","701408733","NA","0.03","0.04","0.00","102","14352","0","67","8","1","2.51","61","0","<not supported>","<not supported>","<not supported>","0.083667",""
"2026-02-21T08:23:20+00:00","fib","advws","4","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench advws 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","3.683e-05;4.2065e-05;4.3117e-05","0.000042065","0.000043012","0.000043096","3.683e-05","4.06707e-05","196701.802526143","NA","5611269864","5611269864","701408733","NA","0.03","0.03","0.00","102","14220","0","59","7","1","2.62","52","0","<not supported>","<not supported>","<not supported>","0.087333",""
"2026-02-21T08:23:20+00:00","fib","advws","5","ok","/home/rjahangir/Concurrency_in_Cpp/build/fib_bench advws 44 8 1 3 8 32","8","1","3","NA","NA","44","8","32","NA","NA","NA","NA","4.3092e-05;4.2596e-05;4.4223e-05","0.000043092","0.000044110","0.000044200","4.2596e-05","4.33037e-05","184741.719529740","NA","5611269864","5611269864","701408733","NA","0.04","0.03","0.00","100","14516","0","59","12","1","2.57","56","0","<not supported>","<not supported>","<not supported>","0.064250",""
