preset,mode,n,block_size,threads,warmup,reps,best_s,avg_s,checksum,log
light,classic,1024,64,1,1,3,0.291332,0.29141,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_classic_t1.log
light,classic,1024,64,2,1,3,0.167801,0.168256,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_classic_t2.log
light,classic,1024,64,4,1,3,0.0891341,0.0893472,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_classic_t4.log
light,classic,1024,64,8,1,3,0.046266,0.0465134,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_classic_t8.log
light,classic,1024,64,16,1,3,0.0252485,0.0310813,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_classic_t16.log
light,coro,1024,64,1,1,3,0.281149,0.281525,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_coro_t1.log
light,coro,1024,64,2,1,3,0.170489,0.170824,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_coro_t2.log
light,coro,1024,64,4,1,3,0.0891189,0.0893314,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_coro_t4.log
light,coro,1024,64,8,1,3,0.0461917,0.0464248,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_coro_t8.log
light,coro,1024,64,16,1,3,0.0290292,0.0308301,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_coro_t16.log
light,ws,1024,64,1,1,3,0.280755,0.280845,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_ws_t1.log
light,ws,1024,64,2,1,3,0.176146,0.176378,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_ws_t2.log
light,ws,1024,64,4,1,3,0.0893191,0.0895097,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_ws_t4.log
light,ws,1024,64,8,1,3,0.040098,0.040903,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_ws_t8.log
light,ws,1024,64,16,1,3,0.0241781,0.0246345,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_ws_t16.log
light,elastic,1024,64,1,1,3,0.172559,0.172667,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_elastic_t1.log
light,elastic,1024,64,2,1,3,0.0941504,0.0944585,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_elastic_t2.log
light,elastic,1024,64,4,1,3,0.0472975,0.047559,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_elastic_t4.log
light,elastic,1024,64,8,1,3,0.0248688,0.0263737,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_elastic_t8.log
light,elastic,1024,64,16,1,3,0.0228534,0.0231233,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_elastic_t16.log
light,advws,1024,64,1,1,3,0.168262,0.168438,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_advws_t1.log
light,advws,1024,64,2,1,3,0.0891203,0.0891716,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_advws_t2.log
light,advws,1024,64,4,1,3,0.0420754,0.0423316,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_advws_t4.log
light,advws,1024,64,8,1,3,0.0230634,0.0235572,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_advws_t8.log
light,advws,1024,64,16,1,3,0.0220385,0.0222718,14.2335,results/matrix_mul_perf_20260307_012707/matrix_mul_light_advws_t16.log
mid,classic,2048,64,1,1,3,3.38369,3.38492,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_classic_t1.log
mid,classic,2048,64,2,1,3,1.9104,1.91704,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_classic_t2.log
mid,classic,2048,64,4,1,3,1.01729,1.01841,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_classic_t4.log
mid,classic,2048,64,8,1,3,0.551119,0.552127,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_classic_t8.log
mid,classic,2048,64,16,1,3,0.266711,0.26795,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_classic_t16.log
mid,coro,2048,64,1,1,3,3.34219,3.34235,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_coro_t1.log
mid,coro,2048,64,2,1,3,1.88661,1.88741,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_coro_t2.log
mid,coro,2048,64,4,1,3,1.01158,1.01388,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_coro_t4.log
mid,coro,2048,64,8,1,3,0.515515,0.516386,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_coro_t8.log
mid,coro,2048,64,16,1,3,0.260435,0.261567,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_coro_t16.log
mid,ws,2048,64,1,1,3,3.32868,3.33204,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_ws_t1.log
mid,ws,2048,64,2,1,3,1.7865,1.91871,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_ws_t2.log
mid,ws,2048,64,4,1,3,1.00207,1.00966,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_ws_t4.log
mid,ws,2048,64,8,1,3,0.473857,0.477915,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_ws_t8.log
mid,ws,2048,64,16,1,3,0.238619,0.23991,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_ws_t16.log
mid,elastic,2048,64,1,1,3,1.8925,1.8935,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_elastic_t1.log
mid,elastic,2048,64,2,1,3,0.98729,0.990795,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_elastic_t2.log
mid,elastic,2048,64,4,1,3,0.512365,0.514835,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_elastic_t4.log
mid,elastic,2048,64,8,1,3,0.260912,0.262386,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_elastic_t8.log
mid,elastic,2048,64,16,1,3,0.210362,0.210819,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_elastic_t16.log
mid,advws,2048,64,1,1,3,1.91374,1.9151,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_advws_t1.log
mid,advws,2048,64,2,1,3,0.998571,1.01858,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_advws_t2.log
mid,advws,2048,64,4,1,3,0.462768,0.488332,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_advws_t4.log
mid,advws,2048,64,8,1,3,0.235595,0.242615,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_advws_t8.log
mid,advws,2048,64,16,1,3,0.198079,0.201,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_advws_t16.log
