mode,preset,cpu1_us,io_us,cpu2_us,concurrency,duration_s,ok,fail,throughput,avg_ms,p50_ms,p95_ms,p99_ms,raw_log
classic,p1_light_cpu_heavy_io,100,8000,100,16,8,6436,0,802.99,19.9108,20.2597,20.7393,20.9995,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_classic_p1_light_cpu_heavy_io.log
classic,p2_balanced,200,5000,200,32,10,12145,0,1211.32,26.3821,26.516,27.1969,31.276,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_classic_p2_balanced.log
classic,p3_cpu_heavy,1200,200,1200,32,10,29408,0,2937.69,10.8861,10.7065,10.7431,12.7966,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_classic_p3_cpu_heavy.log
classic,p4_io_heavy_high_conc,100,10000,100,64,12,7808,0,645.451,98.7427,99.3542,101.721,104.631,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_classic_p4_io_heavy_high_conc.log
classic,p5_stress_mix,600,3000,600,96,12,19407,0,1609.47,59.5016,59.6253,60.0107,67.5802,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_classic_p5_stress_mix.log
coro,p1_light_cpu_heavy_io,100,8000,100,16,8,12232,0,1527.76,10.4689,10.5273,11.4391,17.1636,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_coro_p1_light_cpu_heavy_io.log
coro,p2_balanced,200,5000,200,32,10,44650,0,4461.93,7.16899,7.0436,7.62575,8.77599,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_coro_p2_balanced.log
coro,p3_cpu_heavy,1200,200,1200,32,10,32120,0,3209.73,9.96736,9.68767,9.77604,15.0171,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_coro_p3_cpu_heavy.log
coro,p4_io_heavy_high_conc,100,10000,100,64,12,31619,15116,2632.7,23.6376,13.4061,15.888,54.5188,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_coro_p4_io_heavy_high_conc.log
coro,p5_stress_mix,600,3000,600,96,12,76011,0,6328.75,15.1625,14.6515,15.1735,46.2355,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_coro_p5_stress_mix.log
ws,p1_light_cpu_heavy_io,100,8000,100,16,8,6325,0,788.783,20.2641,19.922,28.7306,40.0514,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_ws_p1_light_cpu_heavy_io.log
ws,p2_balanced,200,5000,200,32,10,12059,0,1203.24,26.5914,26.5475,33.8804,43.6261,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_ws_p2_balanced.log
ws,p3_cpu_heavy,1200,200,1200,32,10,29210,0,2917.94,10.9605,10.7128,12.4746,13.9825,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_ws_p3_cpu_heavy.log
ws,p4_io_heavy_high_conc,100,10000,100,64,12,7804,0,645.221,98.7989,96.8486,127.039,133.251,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_ws_p4_io_heavy_high_conc.log
ws,p5_stress_mix,600,3000,600,96,12,19358,0,1605.16,59.6615,59.7895,61.247,71.6736,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_ws_p5_stress_mix.log
elastic,p1_light_cpu_heavy_io,100,8000,100,16,8,11531,0,1440.22,11.1021,10.8657,12.4401,28.7847,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_elastic_p1_light_cpu_heavy_io.log
elastic,p2_balanced,200,5000,200,32,10,21338,16934,2085.52,14.5158,7.40602,9.00845,44.3509,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_elastic_p2_balanced.log
elastic,p3_cpu_heavy,1200,200,1200,32,10,39511,5107,3944.01,7.89279,3.33908,8.00465,128.025,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_elastic_p3_cpu_heavy.log
elastic,p4_io_heavy_high_conc,100,10000,100,64,12,30838,0,2564.36,24.93,24.4109,25.9837,55.3538,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_elastic_p4_io_heavy_high_conc.log
elastic,p5_stress_mix,600,3000,600,96,12,75058,0,6247.66,15.3556,14.8944,15.1636,47.8357,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_elastic_p5_stress_mix.log
advws,p1_light_cpu_heavy_io,100,8000,100,16,8,11563,0,1444.03,11.0759,10.8253,12.2148,28.3428,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_advws_p1_light_cpu_heavy_io.log
advws,p2_balanced,200,5000,200,32,10,15879,18380,1552.53,18.3088,7.42517,9.37305,47.4677,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_advws_p2_balanced.log
advws,p3_cpu_heavy,1200,200,1200,32,10,44892,1660,4487.68,7.07545,3.32154,8.19714,128.03,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_advws_p3_cpu_heavy.log
advws,p4_io_heavy_high_conc,100,10000,100,64,12,30715,0,2554.8,25.0267,24.355,34.625,58.6298,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_advws_p4_io_heavy_high_conc.log
advws,p5_stress_mix,600,3000,600,96,12,75527,0,6286.05,15.2619,14.8603,19.8902,42.4636,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_164311/bench_advws_p5_stress_mix.log
